"Статус","Количество"
"Total","556"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","18"
"Rejected","42"
"Total","557"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","18"
"Rejected","43"
"Total","558"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","19"
"Rejected","43"
"Total","559"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","19"
"Rejected","44"
"Total","560"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","9"
"Deferred","38"
"Withdrawn","19"
"Rejected","44"
"Total","561"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","19"
"Rejected","44"
"Total","562"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","20"
"Rejected","44"
"Total","563"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","20"
"Rejected","45"
"Total","564"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","20"
"Rejected","46"
"Total","565"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","20"
"Rejected","47"
"Total","566"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","10"
"Deferred","38"
"Withdrawn","20"
"Rejected","48"
"Total","567"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","20"
"Rejected","48"
"Total","568"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","20"
"Rejected","49"
"Total","569"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","21"
"Rejected","49"
"Total","570"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","21"
"Rejected","50"
"Total","571"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","22"
"Rejected","50"
"Total","572"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","11"
"Deferred","38"
"Withdrawn","22"
"Rejected","51"
"Total","573"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","22"
"Rejected","51"
"Total","574"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","23"
"Rejected","51"
"Total","575"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","23"
"Rejected","52"
"Total","576"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","24"
"Rejected","52"
"Total","577"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","25"
"Rejected","52"
"Total","578"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","12"
"Deferred","38"
"Withdrawn","25"
"Rejected","53"
"Total","579"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","25"
"Rejected","53"
"Total","580"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","25"
"Rejected","54"
"Total","581"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","26"
"Rejected","54"
"Total","582"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","27"
"Rejected","54"
"Total","583"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","27"
"Rejected","54"
"April Fool!","1"
"Total","584"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","27"
"Rejected","55"
"April Fool!","1"
"Total","585"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","28"
"Rejected","55"
"April Fool!","1"
"Total","586"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","28"
"Rejected","56"
"April Fool!","1"
"Total","587"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","13"
"Deferred","38"
"Withdrawn","28"
"Rejected","57"
"April Fool!","1"
"Total","588"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","14"
"Deferred","38"
"Withdrawn","28"
"Rejected","57"
"April Fool!","1"
"Total","589"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","14"
"Deferred","38"
"Withdrawn","29"
"Rejected","57"
"April Fool!","1"
"Total","590"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","14"
"Deferred","38"
"Withdrawn","29"
"Rejected","58"
"April Fool!","1"
"Total","591"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","14"
"Deferred","38"
"Withdrawn","30"
"Rejected","58"
"April Fool!","1"
"Total","592"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","14"
"Deferred","38"
"Withdrawn","31"
"Rejected","58"
"April Fool!","1"
"Total","593"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","15"
"Deferred","38"
"Withdrawn","31"
"Rejected","58"
"April Fool!","1"
"Total","594"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","15"
"Deferred","38"
"Withdrawn","32"
"Rejected","58"
"April Fool!","1"
"Total","595"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","32"
"Rejected","58"
"April Fool!","1"
"Total","596"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","32"
"Rejected","59"
"April Fool!","1"
"Total","597"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","32"
"Rejected","60"
"April Fool!","1"
"Total","598"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","32"
"Rejected","61"
"April Fool!","1"
"Total","599"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","33"
"Rejected","61"
"April Fool!","1"
"Total","600"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","34"
"Rejected","61"
"April Fool!","1"
"Total","601"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","35"
"Rejected","61"
"April Fool!","1"
"Total","602"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","35"
"Rejected","62"
"April Fool!","1"
"Total","603"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","36"
"Rejected","62"
"April Fool!","1"
"Total","604"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","36"
"Rejected","63"
"April Fool!","1"
"Total","605"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","36"
"Rejected","64"
"April Fool!","1"
"Total","606"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","37"
"Rejected","64"
"April Fool!","1"
"Total","607"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","38"
"Rejected","64"
"April Fool!","1"
"Total","608"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","38"
"Rejected","65"
"April Fool!","1"
"Total","609"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","38"
"Rejected","66"
"April Fool!","1"
"Total","610"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","38"
"Rejected","67"
"April Fool!","1"
"Total","611"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","38"
"Rejected","68"
"April Fool!","1"
"Total","612"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","39"
"Rejected","68"
"April Fool!","1"
"Total","613"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","39"
"Rejected","69"
"April Fool!","1"
"Total","614"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","40"
"Rejected","69"
"April Fool!","1"
"Total","615"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","16"
"Deferred","38"
"Withdrawn","40"
"Rejected","70"
"April Fool!","1"
"Total","616"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","17"
"Deferred","38"
"Withdrawn","40"
"Rejected","70"
"April Fool!","1"
"Total","617"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","17"
"Deferred","38"
"Withdrawn","40"
"Rejected","71"
"April Fool!","1"
"Total","618"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","17"
"Deferred","38"
"Withdrawn","40"
"Rejected","72"
"April Fool!","1"
"Total","619"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","40"
"Rejected","72"
"April Fool!","1"
"Total","620"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","40"
"Rejected","73"
"April Fool!","1"
"Total","621"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","41"
"Rejected","73"
"April Fool!","1"
"Total","622"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","41"
"Rejected","74"
"April Fool!","1"
"Total","623"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","42"
"Rejected","74"
"April Fool!","1"
"Total","624"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","43"
"Rejected","74"
"April Fool!","1"
"Total","625"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","43"
"Rejected","75"
"April Fool!","1"
"Total","626"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","44"
"Rejected","75"
"April Fool!","1"
"Total","627"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","44"
"Rejected","76"
"April Fool!","1"
"Total","628"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","44"
"Rejected","77"
"April Fool!","1"
"Total","629"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","44"
"Rejected","78"
"April Fool!","1"
"Total","630"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","45"
"Rejected","78"
"April Fool!","1"
"Total","631"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","18"
"Deferred","38"
"Withdrawn","46"
"Rejected","78"
"April Fool!","1"
"Total","632"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","19"
"Deferred","38"
"Withdrawn","46"
"Rejected","78"
"April Fool!","1"
"Total","633"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","19"
"Deferred","38"
"Withdrawn","47"
"Rejected","78"
"April Fool!","1"
"Total","634"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","19"
"Deferred","38"
"Withdrawn","48"
"Rejected","78"
"April Fool!","1"
"Total","635"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","19"
"Deferred","38"
"Withdrawn","48"
"Rejected","79"
"April Fool!","1"
"Total","636"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","20"
"Deferred","38"
"Withdrawn","48"
"Rejected","79"
"April Fool!","1"
"Total","637"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","48"
"Rejected","79"
"April Fool!","1"
"Total","638"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","49"
"Rejected","79"
"April Fool!","1"
"Total","639"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","50"
"Rejected","79"
"April Fool!","1"
"Total","640"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","51"
"Rejected","79"
"April Fool!","1"
"Total","641"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","51"
"Rejected","80"
"April Fool!","1"
"Total","642"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","51"
"Rejected","81"
"April Fool!","1"
"Total","643"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","52"
"Rejected","81"
"April Fool!","1"
"Total","644"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","53"
"Rejected","81"
"April Fool!","1"
"Total","645"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","21"
"Deferred","38"
"Withdrawn","54"
"Rejected","81"
"April Fool!","1"
"Total","646"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","54"
"Rejected","81"
"April Fool!","1"
"Total","647"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","54"
"Rejected","82"
"April Fool!","1"
"Total","648"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","54"
"Rejected","83"
"April Fool!","1"
"Total","649"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","54"
"Rejected","84"
"April Fool!","1"
"Total","650"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","54"
"Rejected","85"
"April Fool!","1"
"Total","651"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","55"
"Rejected","85"
"April Fool!","1"
"Total","652"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","22"
"Deferred","38"
"Withdrawn","56"
"Rejected","85"
"April Fool!","1"
"Total","653"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","23"
"Deferred","38"
"Withdrawn","56"
"Rejected","85"
"April Fool!","1"
"Total","654"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","85"
"April Fool!","1"
"Total","655"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","86"
"April Fool!","1"
"Total","656"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","87"
"April Fool!","1"
"Total","657"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","88"
"April Fool!","1"
"Total","658"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","89"
"April Fool!","1"
"Total","659"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","56"
"Rejected","90"
"April Fool!","1"
"Total","660"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","57"
"Rejected","90"
"April Fool!","1"
"Total","661"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","57"
"Rejected","91"
"April Fool!","1"
"Total","662"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","91"
"April Fool!","1"
"Total","663"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","92"
"April Fool!","1"
"Total","664"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","93"
"April Fool!","1"
"Total","665"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","94"
"April Fool!","1"
"Total","666"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","95"
"April Fool!","1"
"Total","667"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","96"
"April Fool!","1"
"Total","668"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","97"
"April Fool!","1"
"Total","669"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","98"
"April Fool!","1"
"Total","670"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","58"
"Rejected","99"
"April Fool!","1"
"Total","671"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","59"
"Rejected","99"
"April Fool!","1"
"Total","672"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","59"
"Rejected","100"
"April Fool!","1"
"Total","673"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","59"
"Rejected","101"
"April Fool!","1"
"Total","674"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","59"
"Rejected","102"
"April Fool!","1"
"Total","675"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","59"
"Rejected","103"
"April Fool!","1"
"Total","676"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","60"
"Rejected","103"
"April Fool!","1"
"Total","677"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","60"
"Rejected","104"
"April Fool!","1"
"Total","678"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","61"
"Rejected","104"
"April Fool!","1"
"Total","679"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","61"
"Rejected","105"
"April Fool!","1"
"Total","680"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","61"
"Rejected","106"
"April Fool!","1"
"Total","681"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","62"
"Rejected","106"
"April Fool!","1"
"Total","682"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","63"
"Rejected","106"
"April Fool!","1"
"Total","683"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","64"
"Rejected","106"
"April Fool!","1"
"Total","684"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","65"
"Rejected","106"
"April Fool!","1"
"Total","685"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","65"
"Rejected","107"
"April Fool!","1"
"Total","686"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","66"
"Rejected","107"
"April Fool!","1"
"Total","687"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","66"
"Rejected","108"
"April Fool!","1"
"Total","688"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","108"
"April Fool!","1"
"Total","689"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","109"
"April Fool!","1"
"Total","690"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","110"
"April Fool!","1"
"Total","691"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","111"
"April Fool!","1"
"Total","692"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","112"
"April Fool!","1"
"Total","693"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","113"
"April Fool!","1"
"Total","694"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","114"
"April Fool!","1"
"Total","695"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","115"
"April Fool!","1"
"Total","696"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","116"
"April Fool!","1"
"Total","697"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","117"
"April Fool!","1"
"Total","698"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","118"
"April Fool!","1"
"Total","699"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","119"
"April Fool!","1"
"Total","700"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","67"
"Rejected","120"
"April Fool!","1"
"Total","701"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","68"
"Rejected","120"
"April Fool!","1"
"Total","702"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","69"
"Rejected","120"
"April Fool!","1"
"Total","703"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","24"
"Deferred","38"
"Withdrawn","69"
"Rejected","121"
"April Fool!","1"
"Total","704"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","121"
"April Fool!","1"
"Total","705"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","122"
"April Fool!","1"
"Total","706"
