"Статус","Количество"
"Total","124"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","37"
"Total","125"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","38"
"Total","126"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","39"
"Total","127"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","40"
"Total","128"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","41"
"Total","129"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","42"
"Total","130"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","43"
"Total","131"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","44"
"Total","132"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","45"
"Total","133"
"Active","34"
"Accepted","22"
"Final","31"
"Provisional","1"
"Draft","46"
"Total","134"
"Active","34"
"Accepted","22"
"Final","32"
"Provisional","1"
"Draft","46"
"Total","135"
"Active","34"
"Accepted","22"
"Final","33"
"Provisional","1"
"Draft","46"
"Total","136"
"Active","34"
"Accepted","22"
"Final","34"
"Provisional","1"
"Draft","46"
"Total","137"
"Active","34"
"Accepted","22"
"Final","35"
"Provisional","1"
"Draft","46"
"Total","138"
"Active","34"
"Accepted","22"
"Final","36"
"Provisional","1"
"Draft","46"
"Total","139"
"Active","34"
"Accepted","22"
"Final","37"
"Provisional","1"
"Draft","46"
"Total","140"
"Active","34"
"Accepted","22"
"Final","38"
"Provisional","1"
"Draft","46"
"Total","141"
"Active","34"
"Accepted","22"
"Final","39"
"Provisional","1"
"Draft","46"
"Total","142"
"Active","34"
"Accepted","22"
"Final","40"
"Provisional","1"
"Draft","46"
"Total","143"
"Active","34"
"Accepted","22"
"Final","41"
"Provisional","1"
"Draft","46"
"Total","144"
"Active","34"
"Accepted","22"
"Final","42"
"Provisional","1"
"Draft","46"
"Total","145"
"Active","34"
"Accepted","22"
"Final","43"
"Provisional","1"
"Draft","46"
"Total","146"
"Active","34"
"Accepted","22"
"Final","44"
"Provisional","1"
"Draft","46"
"Total","147"
"Active","34"
"Accepted","22"
"Final","45"
"Provisional","1"
"Draft","46"
"Total","148"
"Active","34"
"Accepted","22"
"Final","46"
"Provisional","1"
"Draft","46"
"Total","149"
"Active","34"
"Accepted","22"
"Final","47"
"Provisional","1"
"Draft","46"
"Total","150"
"Active","34"
"Accepted","22"
"Final","48"
"Provisional","1"
"Draft","46"
"Total","151"
"Active","34"
"Accepted","22"
"Final","49"
"Provisional","1"
"Draft","46"
"Total","152"
"Active","34"
"Accepted","22"
"Final","50"
"Provisional","1"
"Draft","46"
"Total","153"
"Active","34"
"Accepted","22"
"Final","51"
"Provisional","1"
"Draft","46"
"Total","154"
"Active","34"
"Accepted","22"
"Final","52"
"Provisional","1"
"Draft","46"
"Total","155"
"Active","34"
"Accepted","22"
"Final","53"
"Provisional","1"
"Draft","46"
"Total","156"
"Active","34"
"Accepted","22"
"Final","54"
"Provisional","1"
"Draft","46"
"Total","157"
"Active","34"
"Accepted","22"
"Final","55"
"Provisional","1"
"Draft","46"
"Total","158"
"Active","34"
"Accepted","22"
"Final","56"
"Provisional","1"
"Draft","46"
"Total","159"
"Active","34"
"Accepted","22"
"Final","57"
"Provisional","1"
"Draft","46"
"Total","160"
"Active","34"
"Accepted","22"
"Final","58"
"Provisional","1"
"Draft","46"
"Total","161"
"Active","34"
"Accepted","22"
"Final","59"
"Provisional","1"
"Draft","46"
"Total","162"
"Active","34"
"Accepted","22"
"Final","60"
"Provisional","1"
"Draft","46"
"Total","163"
"Active","34"
"Accepted","22"
"Final","61"
"Provisional","1"
"Draft","46"
"Total","164"
"Active","34"
"Accepted","22"
"Final","62"
"Provisional","1"
"Draft","46"
"Total","165"
"Active","34"
"Accepted","22"
"Final","63"
"Provisional","1"
"Draft","46"
"Total","166"
"Active","34"
"Accepted","22"
"Final","64"
"Provisional","1"
"Draft","46"
"Total","167"
"Active","34"
"Accepted","22"
"Final","65"
"Provisional","1"
"Draft","46"
"Total","168"
"Active","34"
"Accepted","22"
"Final","66"
"Provisional","1"
"Draft","46"
"Total","169"
"Active","34"
"Accepted","22"
"Final","67"
"Provisional","1"
"Draft","46"
"Total","170"
"Active","34"
"Accepted","22"
"Final","68"
"Provisional","1"
"Draft","46"
"Total","171"
"Active","34"
"Accepted","22"
"Final","69"
"Provisional","1"
"Draft","46"
"Total","172"
"Active","34"
"Accepted","22"
"Final","70"
"Provisional","1"
"Draft","46"
"Total","173"
"Active","34"
"Accepted","22"
"Final","71"
"Provisional","1"
"Draft","46"
"Total","174"
"Active","34"
"Accepted","22"
"Final","72"
"Provisional","1"
"Draft","46"
"Total","175"
"Active","34"
"Accepted","22"
"Final","73"
"Provisional","1"
"Draft","46"
"Total","176"
"Active","34"
"Accepted","22"
"Final","74"
"Provisional","1"
"Draft","46"
"Total","177"
"Active","34"
"Accepted","22"
"Final","75"
"Provisional","1"
"Draft","46"
